,campaign_id,segments_date,metrics_clicks,metrics_conversions,metrics_cost_micros,metrics_impressions,metrics_video_views,metrics_conversions_value,campaign_advertising_channel_type,campaign_budget_amount,campaign_name
0,10815380,2025-02-21,0,0.0,0,1,0,0.0,SEARCH,50.0,Search_Campaign_01
1,9988712287,2024-01-01,158,4.193582,46980000,481,0,549.98808538,SEARCH,90.0,Search_TM_Campaign_01
2,9988712287,2024-01-02,244,4.083258,53558564,818,0,670.81681702,SEARCH,90.0,Search_TM_Campaign_01
3,9988712287,2024-01-03,357,10.356219,75700000,1079,0,601.39843131,SEARCH,90.0,Search_TM_Campaign_01
4,9988712287,2024-01-04,382,14.30958,95300000,1384,0,1802.78762954,SEARCH,90.0,Search_TM_Campaign_01
5,9988712287,2024-01-05,390,9.437749,92730000,1308,0,1168.57615885,SEARCH,90.0,Search_TM_Campaign_01
6,9988712287,2024-01-06,457,8.069344000000001,101410000,1496,0,1140.09175736,SEARCH,90.0,Search_TM_Campaign_01
7,9988712287,2024-01-07,428,8.196562,119810000,1428,0,501.0218567,SEARCH,90.0,Search_TM_Campaign_01
8,9988712287,2024-01-08,375,10.616358,135030000,1264,0,1304.8251472000002,SEARCH,90.0,Search_TM_Campaign_01
9,9988712287,2024-01-09,357,10.529519,113060000,1272,0,549.46462411,SEARCH,90.0,Search_TM_Campaign_01
10,9988712287,2024-01-10,273,11.071182,105650000,1117,0,824.36940512,SEARCH,90.0,Search_TM_Campaign_01
11,9988712287,2024-01-11,324,6.263908,113120000,1204,0,545.78077408,SEARCH,90.0,Search_TM_Campaign_01
12,9988712287,2024-01-12,382,17.002741999999998,141870000,1294,0,1813.3044377400001,SEARCH,90.0,Search_TM_Campaign_01
13,9988712287,2024-01-13,411,5.021881,118890000,1535,0,413.73079936,SEARCH,90.0,Search_TM_Campaign_01
14,9988712287,2024-01-14,435,14.026831,133220000,1457,0,1300.8417844,SEARCH,90.0,Search_TM_Campaign_01
15,9988712287,2024-01-15,380,9.007375,129250000,1359,0,480.55188382,SEARCH,90.0,Search_TM_Campaign_01
16,9988712287,2024-01-16,356,9.420354000000001,138030000,1202,0,757.6478475,SEARCH,90.0,Search_TM_Campaign_01
17,9988712287,2024-01-17,305,3.046291,105400000,1025,0,697.3311495,SEARCH,90.0,Search_TM_Campaign_01
18,9988712287,2024-01-18,313,12.718871,113000000,1113,0,1749.70629506,SEARCH,90.0,Search_TM_Campaign_01
19,9988712287,2024-01-19,365,5.720045,131200000,1232,0,3653.3344077300003,SEARCH,90.0,Search_TM_Campaign_01
20,9988712287,2024-01-20,451,11.518445,138110000,1499,0,1516.7422999,SEARCH,90.0,Search_TM_Campaign_01
21,9988712287,2024-01-21,426,8.78236,139650000,1395,0,976.1609816,SEARCH,90.0,Search_TM_Campaign_01
22,9988712287,2024-01-22,369,8.510328,180720000,1103,0,2170.99581085,SEARCH,90.0,Search_TM_Campaign_01
23,9988712287,2024-01-23,376,7.729846,199040000,1154,0,460.08066003,SEARCH,90.0,Search_TM_Campaign_01
24,9988712287,2024-01-24,319,6.143904,112970000,1039,0,252.03579731,SEARCH,90.0,Search_TM_Campaign_01
25,9988712287,2024-01-25,312,15.334708000000001,122460000,1155,0,1846.90462648,SEARCH,90.0,Search_TM_Campaign_01
26,9988712287,2024-01-26,358,7.241117,106400000,1164,0,603.13312905,SEARCH,90.0,Search_TM_Campaign_01
27,9988712287,2024-01-27,444,5.715695,128620000,1521,0,811.22507663,SEARCH,90.0,Search_TM_Campaign_01
28,9988712287,2024-01-28,502,9.238244000000002,188728528,1601,0,709.6063194300001,SEARCH,90.0,Search_TM_Campaign_01
29,9988712287,2024-01-29,387,8.007161,175740000,1273,0,494.6980088,SEARCH,90.0,Search_TM_Campaign_01
30,9988712287,2024-01-30,368,9.650103,172690000,1203,0,691.78419312,SEARCH,90.0,Search_TM_Campaign_01
31,9988712287,2024-01-31,309,14.773426,116700000,1240,0,1344.3857963,SEARCH,90.0,Search_TM_Campaign_01
32,9988712287,2024-02-01,351,11.597054,151930000,1184,0,850.2611501199999,SEARCH,90.0,Search_TM_Campaign_01
33,9988712287,2024-02-02,338,10.479293,128730000,1244,0,914.8990273899999,SEARCH,90.0,Search_TM_Campaign_01
34,9988712287,2024-02-03,481,13.013565999999999,190470000,1653,0,1280.22121759,SEARCH,90.0,Search_TM_Campaign_01
35,9988712287,2024-02-04,473,15.024808,150670000,1474,0,1495.60877113,SEARCH,90.0,Search_TM_Campaign_01
36,9988712287,2024-02-05,364,7.302105,126140000,1202,0,488.93693987,SEARCH,90.0,Search_TM_Campaign_01
37,9988712287,2024-02-06,377,11.601271,186050000,1297,0,901.40602411,SEARCH,90.0,Search_TM_Campaign_01
38,9988712287,2024-02-07,382,15.487664,152580000,1306,0,1688.7547593499999,SEARCH,90.0,Search_TM_Campaign_01
39,9988712287,2024-02-08,369,10.33366,138720000,1335,0,779.54730389,SEARCH,90.0,Search_TM_Campaign_01
40,9988712287,2024-02-09,360,11.004692,116840000,1177,0,768.47133128,SEARCH,90.0,Search_TM_Campaign_01
41,9988712287,2024-02-10,387,9.235716,121830000,1537,0,887.75295781,SEARCH,90.0,Search_TM_Campaign_01
42,9988712287,2024-02-11,420,6.0,132100000,1408,0,642.15,SEARCH,90.0,Search_TM_Campaign_01
43,9988712287,2024-02-12,386,10.401455,178960000,1279,0,870.42388108,SEARCH,90.0,Search_TM_Campaign_01
44,9988712287,2024-02-13,362,7.5,132290000,1366,0,581.3199999999999,SEARCH,90.0,Search_TM_Campaign_01
45,9988712287,2024-02-14,473,10.957934999999999,175360000,1558,0,891.62504562,SEARCH,90.0,Search_TM_Campaign_01
46,9988712287,2024-02-15,401,13.356166,180620000,1366,0,1404.86679045,SEARCH,90.0,Search_TM_Campaign_01
47,9988712287,2024-02-16,376,7.166666,125880000,1256,0,506.11493495999997,SEARCH,90.0,Search_TM_Campaign_01
48,9988712287,2024-02-17,488,9.335266,157850000,1701,0,499.04834572000004,SEARCH,90.0,Search_TM_Campaign_01
49,9988712287,2024-02-18,422,12.014156,134020000,1594,0,898.70027368,SEARCH,90.0,Search_TM_Campaign_01
50,9988712287,2024-02-19,416,16.0,151770000,1333,0,1232.8,SEARCH,90.0,Search_TM_Campaign_01
51,9988712287,2024-02-20,306,4.009636,135080000,1132,0,347.79683666,SEARCH,90.0,Search_TM_Campaign_01
